Day(d),Temperature(℃),pH,C/N,Ammonia(mg·kg−1),Nitrate(mg·kg−1),TN(wt.%),OM(wt.%),AR(L·min−1·kg−1),Additives,Cumulative NH3(g·kg−1),Daily NH3(g·kg−1)
0,19.97,5.451819838,11.6739954,2562.37911,109.0747331,2.29,46.0884669,1.108479008,1,0,0
3,56.81738719,8.267684818,7.73914154,5933.752418,129.7153025,2.637166869,35.18581882,1.108479008,1,0.491719667,0.491719667
6,45.04345699,8.083497127,9.448606576,5009.67118,149.6441281,2.1213238,34.55508711,1.108479008,1,1.484398094,0.289424861
22,25.12896913,7.214798777,8.211479305,3019.34236,199.8220641,2.39,33.83425087,0.831359256,1,2.452572838,0.041001855
0,19.97226559,5.229619177,10.89912467,2877.176015,78.82562278,2.46,46.22362369,1.102368054,1,0,0
3,58.01430975,8.54916708,8.455577385,5781.431335,99.46619217,2.583701727,37.66369338,1.102368054,1,0.264024499,0.264024499
6,45.2277575,8.216808652,8.995682766,5182.301741,119.0391459,2.257180314,35.00560976,1.102368054,1,1.204658317,0.393135436
22,26.23408501,7.237021061,8.217807102,3892.649903,179.8932384,2.35,33.29362369,0.826776041,1,2.146869541,0.043413729
0,20.06420969,7.511095895,11.72131267,2237.427466,63.87900356,2.39,48.29602787,1.108838476,0,0,0
3,60.13218511,8.423251894,8.719561693,6370.40619,109.7864769,2.481504395,37.30327526,1.108838476,0,0.680381377,0.680381377
6,47.98992875,8.08,11.41819271,4928.433269,130.0711744,1.856106332,36.53738676,1.108838476,0,2.147937475,0.451020408
22,26.14214091,7.185169065,11.61440186,2217.117988,180.2491103,1.8,36.04181185,0.831628857,0,3.142134523,0.065120594
0,20.06434713,5.325915741,12.39554747,2176.499033,114.4128114,2.26,48.29602787,1.078333532,1,0,0
3,60.22426665,8.386203665,7.895466406,5558.027079,99.11032028,2.644529134,35.99675958,1.078333532,1,0.543793669,0.543793669
6,47.99006619,8.090904555,8.750821956,5101.06383,129.3594306,2.147135286,32.3925784,1.078333532,1,1.50388543,0.356957328
22,24.85258708,7.19999501,9.467865808,3445.841393,210.8540925,1.91,31.17616725,0.808750149,1,2.218401487,0.06270872
0,19.87990918,6.133325386,12.06198743,2470.98646,89.14590747,2.29,47.6202439,1.084696077,1,0,0
3,60.13232254,8.58620422,8.591066588,5304.158607,110.1423488,2.545996132,37.70874564,1.084696077,1,0.231467226,0.231467226
6,50.10794155,8.298323626,7.916055689,5090.909091,140.0355872,2.446181818,33.38372822,1.084696077,1,0.957475814,0.212244898
22,24.85272451,7.296302662,7.486291198,4014.50677,170.2846975,2.44,31.4915331,0.813522057,1,1.912610013,0.069944341
0,19.88004662,7.651837025,9.486275176,2613.152805,99.82206406,2.46,40.23167247,1.118089947,0,0,0
3,58.01444718,8.467663195,7.223400151,6522.727273,119.3950178,2.677129702,33.33867596,1.118089947,0,0.823504053,0.823504053
6,50.01586001,8.024259881,9.767721421,4887.814313,124.3772242,1.947679446,32.79804878,1.118089947,0,2.239074327,0.366604824
22,25.03688759,7.288884145,11.86641246,2115.5706,159.6085409,1.59,32.52773519,0.83856746,0,3.083584337,0.067532468
